lead_id,created_date,channel,campaign,region,company_size,industry,acquisition_cost
L00112,2025-06-28,Organic Search,Comparison Pages,US,Enterprise,Finance,5.03
L00113,2025-06-24,LinkedIn,Finance Leaders,Canada,Mid-Market,Retail,98.75
L00114,2025-01-08,Organic Search,Blog CTA,Canada,Mid-Market,Healthcare,10.31
L00115,2025-04-16,Organic Search,SEO Evergreen,UK,SMB,Finance,7.93
L00116,2025-03-29,LinkedIn,Ops Leaders,Canada,SMB,Retail,89.31
L00117,2025-06-25,LinkedIn,ABM Decision Makers,US,SMB,SaaS,121.41
L00118,2025-02-06,Referral,Partner Referral,US,SMB,Healthcare,6.59
L00119,2025-04-23,Referral,Customer Referral,Canada,SMB,Logistics,8.48
L00120,2025-05-13,Organic Search,Comparison Pages,US,Mid-Market,SaaS,8.01
L00121,2025-01-31,Webinar,Workflow Optimization Session,UK,SMB,Logistics,57.06
L00122,2025-01-20,Email,Product Update,US,SMB,Healthcare,21.21
L00123,2025-03-27,Organic Search,SEO Evergreen,Canada,Mid-Market,Healthcare,3.55
L00124,2025-06-24,Referral,Customer Referral,Canada,SMB,Finance,11.38
L00125,2025-04-25,Referral,Customer Referral,Canada,Enterprise,Healthcare,7.99
L00126,2025-04-29,LinkedIn,Finance Leaders,US,Mid-Market,Healthcare,129.42
L00127,2025-02-04,Organic Search,Blog CTA,US,SMB,Logistics,6.14
L00128,2025-02-11,Organic Search,Blog CTA,US,Mid-Market,Retail,5.06
L00129,2025-05-04,Google Ads,Brand Campaign,UK,Mid-Market,SaaS,62.78
L00130,2025-02-10,Google Ads,Search Campaign,US,Enterprise,Healthcare,65.95
L00131,2025-05-07,Google Ads,Brand Campaign,Canada,SMB,Healthcare,75.91
L00132,2025-01-09,Organic Search,SEO Evergreen,UK,Mid-Market,Healthcare,9.95
L00133,2025-01-10,Email,Product Update,US,SMB,Finance,17.44
L00134,2025-01-28,Organic Search,Comparison Pages,US,Enterprise,Logistics,13.61
L00135,2025-04-24,Google Ads,Brand Campaign,US,Mid-Market,Logistics,56.31
L00136,2025-01-17,Organic Search,Comparison Pages,Canada,Enterprise,Healthcare,6.69
L00137,2025-06-25,Referral,Customer Referral,US,Enterprise,SaaS,15.57
L00138,2025-05-30,Organic Search,SEO Evergreen,US,SMB,Retail,10.62
L00139,2025-05-12,Google Ads,Brand Campaign,US,SMB,Retail,48.11
L00140,2025-01-20,Organic Search,SEO Evergreen,Canada,Mid-Market,Manufacturing,9.95
L00141,2025-04-13,Referral,Partner Referral,US,Enterprise,Retail,8.11
L00142,2025-03-20,Referral,Customer Referral,US,Enterprise,Finance,8.87
L00143,2025-01-12,LinkedIn,Ops Leaders,US,Enterprise,Logistics,117.29
L00144,2025-06-07,LinkedIn,ABM Decision Makers,US,SMB,Manufacturing,101.83
L00145,2025-03-06,Webinar,Finance Automation Webinar,US,Enterprise,SaaS,59.76
L00146,2025-02-21,Email,Nurture Flow,Canada,Mid-Market,Logistics,8.17
L00147,2025-02-12,Webinar,Workflow Optimization Session,UK,Mid-Market,Retail,68.83
L00148,2025-04-25,Email,Product Update,US,Mid-Market,Manufacturing,11.48
L00149,2025-02-05,Webinar,Finance Automation Webinar,US,Enterprise,Manufacturing,43.73
L00150,2025-05-15,Organic Search,Comparison Pages,UK,SMB,Manufacturing,8.01
L00151,2025-04-06,Email,Product Update,US,SMB,Finance,28.75
L00152,2025-02-28,LinkedIn,Finance Leaders,US,SMB,SaaS,108.75
L00153,2025-02-24,Referral,Customer Referral,Canada,SMB,Healthcare,11.88
L00154,2025-04-05,Organic Search,SEO Evergreen,UK,Mid-Market,Retail,4.29
L00155,2025-03-08,Organic Search,Comparison Pages,US,Mid-Market,SaaS,8.61
L00156,2025-03-12,Webinar,Workflow Optimization Session,Canada,Mid-Market,SaaS,41.28
L00157,2025-01-11,LinkedIn,Ops Leaders,UK,Enterprise,SaaS,83.98
L00158,2025-05-18,Referral,Partner Referral,US,Mid-Market,Finance,19.45
L00159,2025-03-15,Organic Search,SEO Evergreen,Canada,SMB,Finance,9.59
L00160,2025-04-12,Webinar,Workflow Optimization Session,US,Mid-Market,Logistics,43.39
L00161,2025-01-24,Organic Search,Blog CTA,US,SMB,SaaS,13.22
L00162,2025-02-04,Google Ads,Brand Campaign,US,SMB,Manufacturing,83.59
L00163,2025-01-28,Google Ads,Competitor Terms,US,Mid-Market,SaaS,56.68
L00164,2025-01-26,Email,Reactivation,US,SMB,Manufacturing,27.92
L00165,2025-02-06,Google Ads,Brand Campaign,US,Mid-Market,Finance,67.74
L00166,2025-04-16,Webinar,Workflow Optimization Session,US,SMB,SaaS,36.84
L00167,2025-04-25,Google Ads,Search Campaign,US,Enterprise,Manufacturing,91.25
L00168,2025-06-12,Referral,Partner Referral,UK,Mid-Market,Finance,19.25
L00169,2025-02-22,Google Ads,Competitor Terms,US,SMB,Healthcare,65.27
L00170,2025-06-29,Webinar,Finance Automation Webinar,UK,Enterprise,Retail,28.46
L00171,2025-06-07,Referral,Customer Referral,UK,SMB,Finance,9.02
L00172,2025-04-05,Email,Product Update,UK,Mid-Market,Finance,18.39
L00173,2025-03-11,Referral,Partner Referral,US,Enterprise,SaaS,5.51
L00174,2025-02-07,Email,Reactivation,US,Mid-Market,Finance,11.15
L00175,2025-04-21,LinkedIn,Ops Leaders,UK,Mid-Market,Logistics,64.82
L00176,2025-03-15,Google Ads,Competitor Terms,Canada,Mid-Market,Logistics,48.16
L00177,2025-03-04,Referral,Customer Referral,US,Mid-Market,Finance,12.05
L00178,2025-02-24,LinkedIn,ABM Decision Makers,US,Mid-Market,Finance,107.61
L00179,2025-02-17,Google Ads,Search Campaign,US,SMB,Logistics,79.09
L00180,2025-04-21,Google Ads,Competitor Terms,Canada,SMB,Finance,74.63
L00181,2025-01-23,Referral,Customer Referral,Canada,Enterprise,Healthcare,5.11
L00182,2025-03-19,LinkedIn,Finance Leaders,US,SMB,Finance,61.97
L00183,2025-05-04,Webinar,Workflow Optimization Session,US,Mid-Market,Retail,65.99
L00184,2025-01-08,Google Ads,Competitor Terms,US,SMB,Manufacturing,77.19
L00185,2025-05-04,Email,Product Update,US,SMB,Healthcare,14.5
L00186,2025-05-27,Email,Reactivation,US,SMB,SaaS,22.45
L00187,2025-01-04,Referral,Customer Referral,US,Mid-Market,Healthcare,15.95
L00188,2025-05-11,LinkedIn,Finance Leaders,Canada,Mid-Market,Healthcare,121.2
L00189,2025-05-22,Email,Nurture Flow,US,SMB,Healthcare,11.93
L00190,2025-02-14,LinkedIn,ABM Decision Makers,US,Mid-Market,Healthcare,60.86
L00191,2025-01-05,LinkedIn,Ops Leaders,Canada,SMB,Manufacturing,85.58
L00192,2025-06-29,Google Ads,Competitor Terms,Canada,Mid-Market,Manufacturing,73.01
L00193,2025-02-15,Referral,Customer Referral,Canada,Mid-Market,Finance,9.9
L00194,2025-02-11,LinkedIn,ABM Decision Makers,US,Enterprise,Retail,113.6
L00195,2025-03-10,Email,Reactivation,US,Mid-Market,Manufacturing,26.15
L00196,2025-06-14,Google Ads,Search Campaign,US,Mid-Market,Retail,101.79
L00197,2025-01-01,Webinar,Finance Automation Webinar,Canada,Mid-Market,Finance,65.79
L00198,2025-06-29,LinkedIn,Ops Leaders,US,SMB,Retail,75.82
L00199,2025-04-13,Organic Search,Blog CTA,US,SMB,Finance,9.75
L00200,2025-02-07,Organic Search,Comparison Pages,US,Mid-Market,Finance,7.49
L00201,2025-04-06,Email,Nurture Flow,UK,Enterprise,Finance,17.24
L00202,2025-03-15,Referral,Partner Referral,Canada,Enterprise,Finance,6.03
L00203,2025-04-20,Google Ads,Competitor Terms,Canada,Mid-Market,SaaS,69.44
L00204,2025-06-30,Organic Search,SEO Evergreen,Canada,SMB,SaaS,4.14
L00205,2025-01-29,Email,Nurture Flow,Canada,Enterprise,Logistics,20.84
L00206,2025-02-27,Email,Nurture Flow,US,SMB,Retail,23.92
L00207,2025-03-21,Google Ads,Brand Campaign,US,SMB,Logistics,72.41
L00208,2025-03-30,Google Ads,Search Campaign,US,Mid-Market,Manufacturing,57.96
L00209,2025-02-11,Referral,Customer Referral,Canada,SMB,Healthcare,16.33
L00210,2025-02-22,LinkedIn,Ops Leaders,US,Enterprise,Logistics,83.71
L00211,2025-06-09,LinkedIn,ABM Decision Makers,US,Mid-Market,Finance,120.64
L00212,2025-02-27,LinkedIn,Ops Leaders,US,SMB,Retail,105.62
L00213,2025-04-25,Referral,Partner Referral,Canada,Enterprise,Manufacturing,7.78
L00214,2025-01-26,Webinar,Workflow Optimization Session,US,Enterprise,Retail,61.99
L00215,2025-04-21,Google Ads,Brand Campaign,US,SMB,Logistics,95.65
L00216,2025-02-24,Google Ads,Search Campaign,US,SMB,Logistics,91.92
L00217,2025-03-07,Email,Reactivation,UK,SMB,Retail,11.26
L00218,2025-03-08,Google Ads,Brand Campaign,Canada,SMB,Finance,88.23
L00219,2025-01-30,Referral,Partner Referral,UK,Enterprise,SaaS,6.92
L00220,2025-01-27,Google Ads,Competitor Terms,US,SMB,Healthcare,90.86
L00221,2025-06-06,Organic Search,Blog CTA,US,Mid-Market,SaaS,14.2
L00222,2025-04-09,Google Ads,Competitor Terms,UK,Mid-Market,Manufacturing,91
L00223,2025-03-15,Google Ads,Brand Campaign,US,Mid-Market,Finance,51.71
L00224,2025-03-04,Google Ads,Competitor Terms,Canada,Enterprise,Retail,47.78
L00225,2025-01-13,Google Ads,Brand Campaign,US,Enterprise,Healthcare,104.01
L00226,2025-03-03,Referral,Customer Referral,Canada,SMB,Manufacturing,15.81
L00227,2025-03-06,Email,Reactivation,US,SMB,Manufacturing,11.96
L00228,2025-04-01,Email,Product Update,Canada,SMB,Logistics,22.52
L00229,2025-03-01,Google Ads,Search Campaign,UK,Mid-Market,Healthcare,75.38
L00230,2025-01-14,Organic Search,Comparison Pages,US,SMB,SaaS,11.36
L00231,2025-05-03,Webinar,Workflow Optimization Session,Canada,SMB,Retail,56.06
L00232,2025-02-13,LinkedIn,Finance Leaders,US,Enterprise,Manufacturing,122.15
L00233,2025-04-09,Email,Product Update,US,SMB,SaaS,24.77
L00234,2025-01-22,Webinar,Finance Automation Webinar,US,Enterprise,Finance,58.14
L00235,2025-06-06,Email,Reactivation,US,Mid-Market,Healthcare,10.08
L00236,2025-06-03,Referral,Customer Referral,US,SMB,Healthcare,18.62
L00237,2025-02-12,Google Ads,Search Campaign,Canada,SMB,SaaS,47.49
L00238,2025-05-29,Email,Reactivation,UK,SMB,Manufacturing,20.92
L00239,2025-02-14,Webinar,Finance Automation Webinar,US,Mid-Market,Retail,54
L00240,2025-06-22,Organic Search,SEO Evergreen,UK,Mid-Market,Finance,12.9
L00241,2025-03-04,Google Ads,Competitor Terms,US,Mid-Market,SaaS,95.37
L00242,2025-05-24,Email,Nurture Flow,US,Mid-Market,Logistics,14.65
L00243,2025-05-20,Google Ads,Search Campaign,UK,Mid-Market,Finance,86.93
L00244,2025-04-27,LinkedIn,Ops Leaders,US,SMB,Healthcare,112.16
L00245,2025-02-11,Email,Product Update,Canada,SMB,Retail,28.55
L00246,2025-06-05,Webinar,Finance Automation Webinar,US,Mid-Market,SaaS,43.87
L00247,2025-04-01,Google Ads,Search Campaign,US,SMB,Manufacturing,85.65
L00248,2025-02-05,Email,Nurture Flow,US,Mid-Market,Retail,9.09
L00249,2025-03-23,Google Ads,Brand Campaign,US,SMB,Manufacturing,61.64
L00250,2025-02-05,Email,Reactivation,US,SMB,SaaS,8.08
L00251,2025-02-19,Webinar,Workflow Optimization Session,US,SMB,SaaS,31.84
L00252,2025-06-08,Google Ads,Brand Campaign,US,Enterprise,Logistics,93.74
L00253,2025-01-12,Webinar,Finance Automation Webinar,US,SMB,Healthcare,62.36
L00254,2025-04-13,LinkedIn,Ops Leaders,US,Mid-Market,Retail,79.99
L00255,2025-04-18,Email,Reactivation,US,Mid-Market,Healthcare,10.68
L00256,2025-01-04,Google Ads,Competitor Terms,US,Mid-Market,SaaS,96.97
L00257,2025-01-20,LinkedIn,ABM Decision Makers,Canada,SMB,Finance,109
L00258,2025-01-27,Google Ads,Brand Campaign,US,Mid-Market,Finance,46.82
L00259,2025-02-17,Referral,Partner Referral,US,SMB,Logistics,17.55
L00260,2025-06-23,Referral,Customer Referral,US,Mid-Market,SaaS,15.83
L00261,2025-01-16,Email,Product Update,US,Enterprise,Healthcare,23.79
L00262,2025-04-17,Organic Search,Comparison Pages,Canada,SMB,Retail,3.49
L00263,2025-02-23,Referral,Customer Referral,Canada,Mid-Market,SaaS,14.19
L00264,2025-01-29,Referral,Customer Referral,US,Enterprise,Manufacturing,19.86
L00265,2025-06-23,Email,Product Update,Canada,Mid-Market,SaaS,28.87
L00266,2025-01-15,LinkedIn,Ops Leaders,US,Mid-Market,Logistics,86.93
L00267,2025-05-07,Email,Reactivation,US,SMB,Retail,23.28
L00268,2025-06-24,Organic Search,Blog CTA,US,Enterprise,Finance,14.94
L00269,2025-05-23,Google Ads,Brand Campaign,Canada,SMB,Logistics,87.43
L00270,2025-03-29,Referral,Partner Referral,Canada,SMB,Healthcare,19.65
L00271,2025-01-15,Email,Nurture Flow,US,Enterprise,Finance,9.94
L00272,2025-01-14,Email,Nurture Flow,US,SMB,Retail,24.88
L00273,2025-03-18,Google Ads,Search Campaign,Canada,Mid-Market,Logistics,54.39
L00274,2025-05-08,Email,Product Update,US,SMB,Logistics,14.95
L00275,2025-06-11,Webinar,Workflow Optimization Session,US,Mid-Market,Healthcare,43.67
L00276,2025-04-30,Webinar,Workflow Optimization Session,Canada,SMB,Retail,67.67
L00277,2025-03-04,Referral,Partner Referral,UK,SMB,Logistics,7.32
L00278,2025-05-05,Organic Search,SEO Evergreen,UK,Mid-Market,SaaS,8.89
L00279,2025-02-06,Webinar,Workflow Optimization Session,UK,Enterprise,Healthcare,30.03
L00280,2025-04-23,Email,Reactivation,UK,Enterprise,Logistics,24.13
L00281,2025-05-19,Google Ads,Brand Campaign,US,Mid-Market,Retail,55.2
L00282,2025-04-05,Webinar,Finance Automation Webinar,US,SMB,Logistics,38.57
L00283,2025-05-05,Google Ads,Competitor Terms,US,Enterprise,Manufacturing,55.01
L00284,2025-01-14,Email,Product Update,US,Enterprise,Retail,14.67
L00285,2025-03-27,Google Ads,Competitor Terms,US,SMB,Retail,58.44
L00286,2025-06-29,Referral,Customer Referral,US,SMB,Retail,10.36
L00287,2025-06-12,Organic Search,SEO Evergreen,US,SMB,Healthcare,5.51
L00288,2025-06-06,Referral,Customer Referral,UK,Mid-Market,Manufacturing,12.99
L00289,2025-05-15,Email,Nurture Flow,US,SMB,Logistics,8.07
L00290,2025-01-18,LinkedIn,Finance Leaders,US,Mid-Market,Logistics,71.59
L00291,2025-04-01,Email,Product Update,US,Enterprise,Logistics,16.44
L00292,2025-01-03,Organic Search,Blog CTA,US,SMB,Retail,13.15
L00293,2025-05-07,Email,Reactivation,UK,Mid-Market,SaaS,23.21
L00294,2025-04-05,Google Ads,Search Campaign,US,Mid-Market,Retail,69.13
L00295,2025-06-09,Organic Search,SEO Evergreen,US,Mid-Market,Retail,5.62
L00296,2025-06-08,LinkedIn,Ops Leaders,US,Enterprise,Logistics,92.86
L00297,2025-01-21,Organic Search,Comparison Pages,US,Mid-Market,Retail,6.25
L00298,2025-05-31,Referral,Partner Referral,Canada,SMB,Healthcare,15.82
L00299,2025-05-20,Google Ads,Brand Campaign,US,SMB,Healthcare,55.05
L00300,2025-06-26,LinkedIn,ABM Decision Makers,US,Mid-Market,Manufacturing,100.53
L00301,2025-06-01,Email,Nurture Flow,US,Enterprise,Logistics,18.27
L00302,2025-06-18,Email,Reactivation,US,SMB,Logistics,17.79
L00303,2025-02-01,LinkedIn,Ops Leaders,UK,Enterprise,SaaS,102.25
L00304,2025-06-13,Email,Reactivation,Canada,SMB,Manufacturing,12.7
L00305,2025-03-30,LinkedIn,Ops Leaders,US,SMB,Finance,124.51
L00306,2025-02-19,Email,Reactivation,US,Enterprise,Healthcare,12.07
L00307,2025-06-22,Organic Search,Blog CTA,US,Enterprise,SaaS,5.7
L00308,2025-02-03,Google Ads,Search Campaign,UK,SMB,Logistics,76.93
L00309,2025-01-04,Email,Product Update,US,SMB,Finance,27.32
L00310,2025-01-12,Referral,Customer Referral,US,Mid-Market,SaaS,6.76
L00311,2025-02-27,Organic Search,SEO Evergreen,US,Mid-Market,Retail,13.26
L00312,2025-01-05,Google Ads,Search Campaign,US,SMB,Finance,86.66
L00313,2025-03-10,Webinar,Finance Automation Webinar,US,SMB,SaaS,44.13
L00314,2025-03-19,Referral,Partner Referral,US,SMB,Healthcare,13.72
L00315,2025-02-28,Organic Search,Blog CTA,Canada,SMB,Retail,11.52
L00316,2025-05-21,Google Ads,Brand Campaign,US,Mid-Market,Manufacturing,58.96
L00317,2025-02-12,Google Ads,Brand Campaign,Canada,Enterprise,Retail,51.89
L00318,2025-06-16,Referral,Partner Referral,US,Mid-Market,Healthcare,15.37
L00319,2025-02-03,Google Ads,Brand Campaign,US,Mid-Market,Healthcare,61.03
L00320,2025-03-25,LinkedIn,ABM Decision Makers,UK,SMB,Healthcare,89.33
L00321,2025-04-02,Referral,Partner Referral,US,SMB,Retail,6.56
L00322,2025-04-12,Email,Product Update,US,SMB,Logistics,18.9
L00323,2025-05-05,Webinar,Workflow Optimization Session,Canada,Mid-Market,Healthcare,67.68
L00324,2025-01-31,LinkedIn,Finance Leaders,US,Mid-Market,Logistics,113.08
L00325,2025-01-12,Google Ads,Competitor Terms,US,Enterprise,Retail,99.18
L00326,2025-03-25,LinkedIn,ABM Decision Makers,UK,SMB,Finance,85.11
L00327,2025-01-01,Google Ads,Search Campaign,Canada,SMB,SaaS,96.07
L00328,2025-02-01,Google Ads,Search Campaign,US,Mid-Market,Logistics,97.3
L00329,2025-05-14,Organic Search,Blog CTA,US,Mid-Market,SaaS,14.83
L00330,2025-05-05,Referral,Customer Referral,UK,Enterprise,Finance,12.78
L00331,2025-02-23,Organic Search,Blog CTA,US,SMB,Manufacturing,5.7
L00332,2025-06-05,Webinar,Finance Automation Webinar,US,Mid-Market,Logistics,52.85
L00333,2025-01-28,Google Ads,Brand Campaign,Canada,SMB,Healthcare,99.86
L00334,2025-02-06,Organic Search,Blog CTA,Canada,SMB,Manufacturing,10.32
L00335,2025-01-04,LinkedIn,ABM Decision Makers,Canada,SMB,SaaS,62.68
L00336,2025-03-10,Email,Reactivation,Canada,SMB,Manufacturing,9.87
L00337,2025-06-01,Organic Search,Blog CTA,US,Mid-Market,SaaS,4.85
