lead_id,stage,stage_date,revenue
L00034,MQL,2025-01-08,0.0
L00034,Lost,2025-01-27,0.0
L00035,Lead,2025-03-01,0.0
L00035,MQL,2025-03-13,0.0
L00035,Lost,2025-03-21,0.0
L00036,Lead,2025-02-24,0.0
L00036,MQL,2025-02-28,0.0
L00036,SQL,2025-03-16,0.0
L00036,Lost,2025-04-05,0.0
L00037,Lead,2025-01-30,0.0
L00037,MQL,2025-02-05,0.0
L00037,SQL,2025-02-22,0.0
L00037,Lost,2025-03-24,0.0
L00038,Lead,2025-03-22,0.0
L00038,Lost,2025-03-25,0.0
L00039,Lead,2025-05-23,0.0
L00039,MQL,2025-05-27,0.0
L00039,Lost,2025-06-20,0.0
L00040,Lead,2025-02-28,0.0
L00040,Lost,2025-03-06,0.0
L00041,Lead,2025-05-06,0.0
L00041,MQL,2025-05-09,0.0
L00041,SQL,2025-05-12,0.0
L00041,Customer,2025-05-18,13701.21
L00042,Lead,2025-05-06,0.0
L00042,Lost,2025-05-26,0.0
L00043,Lead,2025-04-30,0.0
L00043,MQL,2025-05-09,0.0
L00043,Lost,2025-05-21,0.0
L00044,Lead,2025-01-30,0.0
L00044,MQL,2025-02-07,0.0
L00044,SQL,2025-02-17,0.0
L00044,Lost,2025-02-27,0.0
L00045,Lead,2025-05-23,0.0
L00045,Lost,2025-05-27,0.0
L00046,Lead,2025-01-08,0.0
L00046,Lost,2025-01-14,0.0
L00047,Lead,2025-03-21,0.0
L00047,Lost,2025-03-27,0.0
L00048,Lead,2025-01-07,0.0
L00048,MQL,2025-01-17,0.0
L00048,SQL,2025-02-04,0.0
L00048,Customer,2025-03-12,15257.39
L00049,Lead,2025-06-04,0.0
L00049,Lost,2025-06-07,0.0
L00050,Lead,2025-01-10,0.0
L00050,MQL,2025-01-24,0.0
L00050,Lost,2025-02-07,0.0
L00051,Lead,2025-05-10,0.0
L00051,MQL,2025-05-13,0.0
L00051,Lost,2025-06-02,0.0
L00052,Lead,2025-01-01,0.0
L00052,MQL,2025-01-10,0.0
L00052,SQL,2025-01-26,0.0
L00052,Lost,2025-02-13,0.0
L00053,Lead,2025-04-15,0.0
L00053,Lost,2025-04-25,0.0
L00054,Lead,2025-05-16,0.0
L00054,Lost,2025-05-25,0.0
L00055,Lead,2025-03-23,0.0
L00055,MQL,2025-03-24,0.0
L00055,SQL,2025-04-03,0.0
L00055,Lost,2025-04-14,0.0
L00056,Lead,2025-06-10,0.0
L00056,Lost,2025-06-14,0.0
L00057,Lead,2025-05-26,0.0
L00057,Lost,2025-06-05,0.0
L00058,Lead,2025-05-05,0.0
L00058,MQL,2025-05-07,0.0
L00058,SQL,2025-05-09,0.0
L00058,Lost,2025-06-10,0.0
L00059,Lead,2025-05-11,0.0
L00059,Lost,2025-05-30,0.0
L00060,Lead,2025-04-13,0.0
L00060,MQL,2025-04-20,0.0
L00060,SQL,2025-05-11,0.0
L00060,Lost,2025-05-17,0.0
L00061,Lead,2025-01-24,0.0
L00061,Lost,2025-02-01,0.0
L00062,Lead,2025-02-03,0.0
L00062,MQL,2025-02-10,0.0
L00062,Lost,2025-02-18,0.0
L00063,Lead,2025-05-30,0.0
L00063,MQL,2025-06-12,0.0
L00063,Lost,2025-06-21,0.0
L00064,Lead,2025-02-12,0.0
L00064,MQL,2025-02-18,0.0
L00064,SQL,2025-02-27,0.0
L00064,Lost,2025-03-24,0.0
L00065,Lead,2025-06-18,0.0
L00065,MQL,2025-06-23,0.0
L00065,SQL,2025-07-03,0.0
L00065,Customer,2025-07-14,18728.05
L00066,Lead,2025-05-03,0.0
L00066,MQL,2025-05-13,0.0
L00066,SQL,2025-05-17,0.0
L00066,Customer,2025-06-13,18129.17
L00067,Lead,2025-04-18,0.0
L00067,Lost,2025-05-05,0.0
L00068,Lead,2025-01-30,0.0
L00068,MQL,2025-02-01,0.0
L00068,Lost,2025-02-11,0.0
L00069,Lead,2025-03-03,0.0
L00069,Lost,2025-03-23,0.0
L00070,Lead,2025-02-17,0.0
L00070,Lost,2025-03-03,0.0
L00071,Lead,2025-03-25,0.0
L00071,Lost,2025-03-31,0.0
L00072,Lead,2025-05-31,0.0
L00072,Lost,2025-06-16,0.0
L00073,Lead,2025-03-26,0.0
L00073,Lost,2025-03-29,0.0
L00074,Lead,2025-05-21,0.0
L00074,MQL,2025-06-01,0.0
L00074,Lost,2025-06-09,0.0
L00075,Lead,2025-05-06,0.0
L00075,MQL,2025-05-07,0.0
L00075,Lost,2025-05-22,0.0
L00076,Lead,2025-06-19,0.0
L00076,MQL,2025-06-25,0.0
L00076,Lost,2025-07-09,0.0
L00077,Lead,2025-04-23,0.0
L00077,Lost,2025-05-12,0.0
L00078,Lead,2025-02-15,0.0
L00078,MQL,2025-02-21,0.0
L00078,SQL,2025-03-09,0.0
L00078,Customer,2025-04-19,6076.71
L00079,Lead,2025-01-06,0.0
L00079,MQL,2025-01-13,0.0
L00079,Lost,2025-02-01,0.0
L00080,Lead,2025-05-03,0.0
L00080,Lost,2025-05-16,0.0
L00081,Lead,2025-04-30,0.0
L00081,Lost,2025-05-17,0.0
L00082,Lead,2025-04-13,0.0
L00082,Lost,2025-05-01,0.0
L00083,Lead,2025-03-16,0.0
L00083,MQL,2025-03-20,0.0
L00083,Lost,2025-04-05,0.0
L00084,Lead,2025-06-26,0.0
L00084,MQL,2025-07-01,0.0
L00084,Lost,2025-07-06,0.0
L00085,Lead,2025-01-21,0.0
L00085,MQL,2025-01-27,0.0
L00085,Lost,2025-02-11,0.0
L00086,Lead,2025-02-06,0.0
L00086,MQL,2025-02-16,0.0
L00086,Lost,2025-03-06,0.0
L00087,Lead,2025-04-18,0.0
L00087,MQL,2025-04-27,0.0
L00087,Lost,2025-05-22,0.0
L00088,Lead,2025-01-27,0.0
L00088,Lost,2025-02-14,0.0
L00089,Lead,2025-06-10,0.0
L00089,Lost,2025-06-23,0.0
L00090,Lead,2025-02-27,0.0
L00090,Lost,2025-03-05,0.0
L00091,Lead,2025-04-12,0.0
L00091,Lost,2025-04-24,0.0
L00092,Lead,2025-01-22,0.0
L00092,Lost,2025-01-30,0.0
L00093,Lead,2025-02-21,0.0
L00093,Lost,2025-03-05,0.0
L00094,Lead,2025-04-21,0.0
L00094,Lost,2025-05-06,0.0
L00095,Lead,2025-02-27,0.0
L00095,MQL,2025-03-03,0.0
L00095,SQL,2025-03-06,0.0
L00095,Customer,2025-04-05,13057.32
L00096,Lead,2025-02-19,0.0
L00096,Lost,2025-03-08,0.0
L00097,Lead,2025-05-25,0.0
L00097,Lost,2025-06-05,0.0
L00098,Lead,2025-04-06,0.0
L00098,Lost,2025-04-10,0.0
L00099,Lead,2025-01-08,0.0
L00099,MQL,2025-01-09,0.0
L00099,Lost,2025-01-12,0.0
L00100,Lead,2025-01-29,0.0
L00100,MQL,2025-01-30,0.0
L00100,SQL,2025-02-10,0.0
L00100,Customer,2025-03-11,13611.17
L00101,Lead,2025-01-09,0.0
L00101,MQL,2025-01-11,0.0
L00101,Lost,2025-02-02,0.0
L00102,Lead,2025-06-16,0.0
L00102,MQL,2025-06-21,0.0
L00102,SQL,2025-07-04,0.0
L00102,Lost,2025-08-04,0.0
L00103,Lead,2025-06-12,0.0
L00103,Lost,2025-07-01,0.0
L00104,Lead,2025-03-02,0.0
L00104,MQL,2025-03-11,0.0
L00104,Lost,2025-03-26,0.0
L00105,Lead,2025-04-14,0.0
L00105,MQL,2025-04-24,0.0
L00105,SQL,2025-05-04,0.0
L00105,Lost,2025-05-27,0.0
L00106,Lead,2025-04-06,0.0
L00106,MQL,2025-04-09,0.0
L00106,Lost,2025-05-01,0.0
L00107,Lead,2025-06-06,0.0
L00107,MQL,2025-06-16,0.0
L00107,SQL,2025-06-19,0.0
L00107,Lost,2025-07-06,0.0
L00108,Lead,2025-01-16,0.0
L00108,Lost,2025-01-28,0.0
L00109,Lead,2025-01-01,0.0
L00109,MQL,2025-01-07,0.0
L00109,SQL,2025-01-21,0.0
L00109,Lost,2025-01-30,0.0
L00110,Lead,2025-05-20,0.0
L00110,Lost,2025-06-09,0.0
L00111,Lead,2025-02-01,0.0
L00111,Lost,2025-02-15,0.0
L00112,Lead,2025-06-28,0.0
L00112,Lost,2025-07-15,0.0
L00113,Lead,2025-06-24,0.0
L00113,MQL,2025-06-27,0.0
L00113,Lost,2025-07-18,0.0
L00114,Lead,2025-01-08,0.0
L00114,MQL,2025-01-21,0.0
L00114,SQL,2025-02-05,0.0
L00114,Customer,2025-03-01,5229.75
L00115,Lead,2025-04-16,0.0
L00115,MQL,2025-04-19,0.0
L00115,SQL,2025-05-03,0.0
L00115,Lost,2025-05-18,0.0
L00116,Lead,2025-03-29,0.0
L00116,MQL,2025-04-08,0.0
L00116,Lost,2025-04-17,0.0
L00117,Lead,2025-06-25,0.0
L00117,MQL,2025-07-04,0.0
L00117,Lost,2025-07-07,0.0
L00118,Lead,2025-02-06,0.0
L00118,MQL,2025-02-07,0.0
L00118,SQL,2025-02-21,0.0
L00118,Customer,2025-03-10,17797.41
L00119,Lead,2025-04-23,0.0
L00119,Lost,2025-05-06,0.0
L00120,Lead,2025-05-13,0.0
L00120,MQL,2025-05-16,0.0
L00120,Lost,2025-05-23,0.0
L00121,Lead,2025-01-31,0.0
L00121,Lost,2025-02-05,0.0
L00122,Lead,2025-01-20,0.0
L00122,MQL,2025-01-23,0.0
L00122,Lost,2025-02-09,0.0
L00123,Lead,2025-03-27,0.0
L00123,MQL,2025-04-02,0.0
L00123,Lost,2025-04-19,0.0
L00124,Lead,2025-06-24,0.0
L00124,MQL,2025-07-07,0.0
L00124,SQL,2025-07-17,0.0
L00124,Customer,2025-08-16,6803.08
L00125,Lead,2025-04-25,0.0
L00125,Lost,2025-04-29,0.0
L00126,Lead,2025-04-29,0.0
L00126,Lost,2025-05-19,0.0
L00127,Lead,2025-02-04,0.0
L00127,MQL,2025-02-15,0.0
L00127,SQL,2025-02-23,0.0
L00127,Lost,2025-03-12,0.0
L00128,Lead,2025-02-11,0.0
L00128,Lost,2025-02-17,0.0
L00129,Lead,2025-05-04,0.0
L00129,MQL,2025-05-18,0.0
L00129,Lost,2025-05-24,0.0
L00130,Lead,2025-02-10,0.0
L00130,MQL,2025-02-15,0.0
L00130,SQL,2025-02-27,0.0
L00130,Customer,2025-03-11,11581.48
L00131,Lead,2025-05-07,0.0
L00131,Lost,2025-05-25,0.0
L00132,Lead,2025-01-09,0.0
L00132,Lost,2025-01-17,0.0
L00133,Lead,2025-01-10,0.0
L00133,MQL,2025-01-17,0.0
L00133,SQL,2025-01-25,0.0
L00133,Lost,2025-02-09,0.0
L00134,Lead,2025-01-28,0.0
L00134,Lost,2025-02-10,0.0
L00135,Lead,2025-04-24,0.0
L00135,MQL,2025-04-28,0.0
L00135,Lost,2025-05-18,0.0
L00136,Lead,2025-01-17,0.0
L00136,Lost,2025-02-06,0.0
L00137,Lead,2025-06-25,0.0
L00137,MQL,2025-06-27,0.0
L00137,Lost,2025-07-20,0.0
L00138,Lead,2025-05-30,0.0
L00138,Lost,2025-06-14,0.0
L00139,Lead,2025-05-12,0.0
L00139,Lost,2025-05-22,0.0
L00140,Lead,2025-01-20,0.0
L00140,MQL,2025-01-24,0.0
L00140,SQL,2025-02-02,0.0
L00140,Lost,2025-02-27,0.0
L00141,Lead,2025-04-13,0.0
L00141,MQL,2025-04-20,0.0
L00141,Lost,2025-04-30,0.0
L00142,Lead,2025-03-20,0.0
L00142,MQL,2025-04-03,0.0
L00142,SQL,2025-04-05,0.0
L00142,Customer,2025-04-16,25063.85
L00143,Lead,2025-01-12,0.0
L00143,MQL,2025-01-13,0.0
L00143,SQL,2025-01-22,0.0
L00143,Lost,2025-02-11,0.0
L00144,Lead,2025-06-07,0.0
L00144,Lost,2025-06-16,0.0
L00145,Lead,2025-03-06,0.0
L00145,MQL,2025-03-18,0.0
L00145,Lost,2025-04-01,0.0
L00146,Lead,2025-02-21,0.0
L00146,Lost,2025-03-11,0.0
L00147,Lead,2025-02-12,0.0
L00147,MQL,2025-02-13,0.0
L00147,SQL,2025-02-19,0.0
L00147,Customer,2025-03-02,6867.65
L00148,Lead,2025-04-25,0.0
L00148,MQL,2025-05-06,0.0
L00148,SQL,2025-05-25,0.0
L00148,Lost,2025-06-14,0.0
L00149,Lead,2025-02-05,0.0
L00149,MQL,2025-02-13,0.0
L00149,SQL,2025-02-27,0.0
L00149,Lost,2025-03-21,0.0
L00150,Lead,2025-05-15,0.0
L00150,MQL,2025-05-18,0.0
L00150,Lost,2025-05-25,0.0
L00151,Lead,2025-04-06,0.0
L00151,Lost,2025-04-19,0.0
L00152,Lead,2025-02-28,0.0
L00152,Lost,2025-03-15,0.0
L00153,Lead,2025-02-24,0.0
L00153,MQL,2025-03-03,0.0
L00153,SQL,2025-03-12,0.0
L00153,Customer,2025-03-19,10250.88
L00154,Lead,2025-04-05,0.0
L00154,MQL,2025-04-18,0.0
L00154,Lost,2025-05-04,0.0
L00155,Lead,2025-03-08,0.0
L00155,MQL,2025-03-15,0.0
L00155,Lost,2025-04-09,0.0
L00156,Lead,2025-03-12,0.0
L00156,Lost,2025-03-24,0.0
L00157,Lead,2025-01-11,0.0
L00157,Lost,2025-01-30,0.0
L00158,Lead,2025-05-18,0.0
L00158,MQL,2025-05-26,0.0
L00158,Lost,2025-06-04,0.0
L00159,Lead,2025-03-15,0.0
L00159,Lost,2025-03-22,0.0
L00160,Lead,2025-04-12,0.0
L00160,MQL,2025-04-24,0.0
L00160,SQL,2025-05-03,0.0
L00160,Lost,2025-05-26,0.0
L00161,Lead,2025-01-24,0.0
L00161,Lost,2025-02-09,0.0
L00162,Lead,2025-02-04,0.0
L00162,Lost,2025-02-07,0.0
L00163,Lead,2025-01-28,0.0
L00163,MQL,2025-02-08,0.0
L00163,Lost,2025-02-17,0.0
L00164,Lead,2025-01-26,0.0
L00164,Lost,2025-02-08,0.0
L00165,Lead,2025-02-06,0.0
L00165,Lost,2025-02-20,0.0
L00166,Lead,2025-04-16,0.0
L00166,MQL,2025-04-29,0.0
L00166,Lost,2025-05-10,0.0
L00167,Lead,2025-04-25,0.0
L00167,Lost,2025-05-12,0.0
L00168,Lead,2025-06-12,0.0
L00168,MQL,2025-06-25,0.0
L00168,SQL,2025-07-10,0.0
L00168,Customer,2025-07-26,5982.45
L00169,Lead,2025-02-22,0.0
L00169,Lost,2025-03-05,0.0
L00170,Lead,2025-06-29,0.0
L00170,MQL,2025-06-30,0.0
L00170,SQL,2025-07-05,0.0
L00170,Lost,2025-08-08,0.0
L00171,Lead,2025-06-07,0.0
L00171,MQL,2025-06-11,0.0
L00171,Lost,2025-06-30,0.0
L00172,Lead,2025-04-05,0.0
L00172,MQL,2025-04-16,0.0
L00172,SQL,2025-05-03,0.0
L00172,Lost,2025-05-09,0.0
L00173,Lead,2025-03-11,0.0
L00173,MQL,2025-03-17,0.0
L00173,SQL,2025-04-03,0.0
L00173,Lost,2025-04-21,0.0
L00174,Lead,2025-02-07,0.0
L00174,MQL,2025-02-19,0.0
L00174,Lost,2025-03-02,0.0
L00175,Lead,2025-04-21,0.0
L00175,MQL,2025-05-01,0.0
L00175,Lost,2025-05-24,0.0
L00176,Lead,2025-03-15,0.0
L00176,Lost,2025-04-03,0.0
L00177,Lead,2025-03-04,0.0
L00177,MQL,2025-03-17,0.0
L00177,SQL,2025-03-27,0.0
L00177,Customer,2025-05-03,20336.19
L00178,Lead,2025-02-24,0.0
L00178,MQL,2025-03-06,0.0
L00178,Lost,2025-03-28,0.0
L00179,Lead,2025-02-17,0.0
L00179,Lost,2025-02-25,0.0
L00180,Lead,2025-04-21,0.0
L00180,MQL,2025-04-23,0.0
L00180,Lost,2025-05-15,0.0
L00181,Lead,2025-01-23,0.0
L00181,MQL,2025-01-27,0.0
L00181,SQL,2025-02-08,0.0
L00181,Customer,2025-02-25,25873.55
L00182,Lead,2025-03-19,0.0
L00182,MQL,2025-03-30,0.0
L00182,Lost,2025-04-12,0.0
L00183,Lead,2025-05-04,0.0
L00183,Lost,2025-05-19,0.0
L00184,Lead,2025-01-08,0.0
L00184,Lost,2025-01-15,0.0
L00185,Lead,2025-05-04,0.0
L00185,MQL,2025-05-16,0.0
L00185,Lost,2025-05-22,0.0
L00186,Lead,2025-05-27,0.0
L00186,MQL,2025-05-30,0.0
L00186,SQL,2025-06-03,0.0
L00186,Lost,2025-06-30,0.0
L00187,Lead,2025-01-04,0.0
L00187,MQL,2025-01-11,0.0
L00187,Lost,2025-01-16,0.0
L00188,Lead,2025-05-11,0.0
L00188,MQL,2025-05-22,0.0
L00188,Lost,2025-06-14,0.0
L00189,Lead,2025-05-22,0.0
L00189,Lost,2025-06-07,0.0
L00190,Lead,2025-02-14,0.0
L00190,MQL,2025-02-20,0.0
L00190,SQL,2025-03-12,0.0
L00190,Lost,2025-03-24,0.0
L00191,Lead,2025-01-05,0.0
L00191,Lost,2025-01-24,0.0
L00192,Lead,2025-06-29,0.0
L00192,MQL,2025-07-09,0.0
L00192,SQL,2025-07-27,0.0
L00192,Customer,2025-08-07,9905.62
L00193,Lead,2025-02-15,0.0
L00193,MQL,2025-02-21,0.0
L00193,SQL,2025-03-04,0.0
L00193,Customer,2025-03-23,15255.46
L00194,Lead,2025-02-11,0.0
L00194,MQL,2025-02-22,0.0
L00194,Lost,2025-03-10,0.0
L00195,Lead,2025-03-10,0.0
L00195,MQL,2025-03-19,0.0
L00195,Lost,2025-04-09,0.0
L00196,Lead,2025-06-14,0.0
L00196,MQL,2025-06-27,0.0
L00196,Lost,2025-07-18,0.0
L00197,Lead,2025-01-01,0.0
L00197,MQL,2025-01-12,0.0
L00197,SQL,2025-01-29,0.0
L00197,Lost,2025-02-22,0.0
L00198,Lead,2025-06-29,0.0
L00198,Lost,2025-07-19,0.0
L00199,Lead,2025-04-13,0.0
L00199,Lost,2025-04-20,0.0
L00200,Lead,2025-02-07,0.0
L00200,MQL,2025-02-15,0.0
L00200,SQL,2025-02-23,0.0
L00200,Lost,2025-03-16,0.0
L00201,Lead,2025-04-06,0.0
L00201,MQL,2025-04-14,0.0
L00201,Lost,2025-04-18,0.0
L00202,Lead,2025-03-15,0.0
L00202,Lost,2025-03-22,0.0
L00203,Lead,2025-04-20,0.0
L00203,Lost,2025-05-10,0.0
L00204,Lead,2025-06-30,0.0
L00204,MQL,2025-07-11,0.0
L00204,Lost,2025-07-23,0.0
L00205,Lead,2025-01-29,0.0
L00205,MQL,2025-02-04,0.0
L00205,Lost,2025-02-12,0.0
L00206,Lead,2025-02-27,0.0
L00206,MQL,2025-03-05,0.0
L00206,Lost,2025-03-30,0.0
L00207,Lead,2025-03-21,0.0
L00207,Lost,2025-03-31,0.0
L00208,Lead,2025-03-30,0.0
L00208,MQL,2025-04-02,0.0
L00208,Lost,2025-04-16,0.0
L00209,Lead,2025-02-11,0.0
L00209,MQL,2025-02-21,0.0
L00209,SQL,2025-03-03,0.0
L00209,Lost,2025-03-11,0.0
L00210,Lead,2025-02-22,0.0
L00210,Lost,2025-03-06,0.0
L00211,Lead,2025-06-09,0.0
L00211,MQL,2025-06-12,0.0
L00211,SQL,2025-06-29,0.0
L00211,Lost,2025-07-14,0.0
L00212,Lead,2025-02-27,0.0
L00212,Lost,2025-03-07,0.0
L00213,Lead,2025-04-25,0.0
L00213,MQL,2025-05-01,0.0
L00213,SQL,2025-05-15,0.0
L00213,Lost,2025-05-24,0.0
L00214,Lead,2025-01-26,0.0
L00214,MQL,2025-01-31,0.0
L00214,Lost,2025-02-07,0.0
L00215,Lead,2025-04-21,0.0
L00215,Lost,2025-04-28,0.0
L00216,Lead,2025-02-24,0.0
L00216,Lost,2025-03-12,0.0
L00217,Lead,2025-03-07,0.0
L00217,MQL,2025-03-21,0.0
L00217,Lost,2025-03-28,0.0
L00218,Lead,2025-03-08,0.0
L00218,MQL,2025-03-14,0.0
L00218,SQL,2025-03-29,0.0
L00218,Lost,2025-04-03,0.0
L00219,Lead,2025-01-30,0.0
L00219,MQL,2025-02-02,0.0
L00219,SQL,2025-02-04,0.0
L00219,Lost,2025-03-01,0.0
L00220,Lead,2025-01-27,0.0
L00220,MQL,2025-02-03,0.0
L00220,Lost,2025-02-08,0.0
L00221,Lead,2025-06-06,0.0
L00221,Lost,2025-06-16,0.0
L00222,Lead,2025-04-09,0.0
L00222,MQL,2025-04-21,0.0
L00222,Lost,2025-05-03,0.0
L00223,Lead,2025-03-15,0.0
L00223,MQL,2025-03-23,0.0
L00223,Lost,2025-04-07,0.0
L00224,Lead,2025-03-04,0.0
L00224,MQL,2025-03-17,0.0
L00224,Lost,2025-04-01,0.0
L00225,Lead,2025-01-13,0.0
L00225,MQL,2025-01-25,0.0
L00225,SQL,2025-02-01,0.0
L00225,Customer,2025-02-13,9295.88
L00226,Lead,2025-03-03,0.0
L00226,MQL,2025-03-09,0.0
L00226,SQL,2025-03-12,0.0
L00226,Customer,2025-04-01,5101.2
L00227,Lead,2025-03-06,0.0
L00227,MQL,2025-03-08,0.0
L00227,SQL,2025-03-29,0.0
L00227,Lost,2025-04-29,0.0
L00228,Lead,2025-04-01,0.0
L00228,MQL,2025-04-04,0.0
L00228,SQL,2025-04-23,0.0
L00228,Lost,2025-05-06,0.0
L00229,Lead,2025-03-01,0.0
L00229,Lost,2025-03-09,0.0
L00230,Lead,2025-01-14,0.0
L00230,Lost,2025-01-25,0.0
L00231,Lead,2025-05-03,0.0
L00231,Lost,2025-05-06,0.0
L00232,Lead,2025-02-13,0.0
L00232,Lost,2025-02-27,0.0
L00233,Lead,2025-04-09,0.0
L00233,MQL,2025-04-22,0.0
L00233,Lost,2025-04-26,0.0
L00234,Lead,2025-01-22,0.0
L00234,MQL,2025-02-03,0.0
L00234,SQL,2025-02-05,0.0
L00234,Lost,2025-03-10,0.0
L00235,Lead,2025-06-06,0.0
L00235,MQL,2025-06-16,0.0
L00235,Lost,2025-07-02,0.0
L00236,Lead,2025-06-03,0.0
L00236,MQL,2025-06-04,0.0
L00236,SQL,2025-06-22,0.0
L00236,Lost,2025-07-06,0.0
L00237,Lead,2025-02-12,0.0
L00237,Lost,2025-02-18,0.0
L00238,Lead,2025-05-29,0.0
L00238,MQL,2025-06-03,0.0
L00238,SQL,2025-06-17,0.0
L00238,Customer,2025-06-30,3976.83
L00239,Lead,2025-02-14,0.0
L00239,Lost,2025-03-01,0.0
L00240,Lead,2025-06-22,0.0
L00240,Lost,2025-07-03,0.0
L00241,Lead,2025-03-04,0.0
L00241,MQL,2025-03-10,0.0
L00241,Lost,2025-04-01,0.0
L00242,Lead,2025-05-24,0.0
L00242,Lost,2025-06-01,0.0
L00243,Lead,2025-05-20,0.0
L00243,MQL,2025-05-29,0.0
L00243,Lost,2025-06-14,0.0
L00244,Lead,2025-04-27,0.0
L00244,MQL,2025-04-29,0.0
L00244,Lost,2025-05-18,0.0
L00245,Lead,2025-02-11,0.0
L00245,MQL,2025-02-19,0.0
L00245,SQL,2025-03-06,0.0
L00245,Lost,2025-03-26,0.0
L00246,Lead,2025-06-05,0.0
L00246,MQL,2025-06-12,0.0
L00246,Lost,2025-06-30,0.0
L00247,Lead,2025-04-01,0.0
L00247,Lost,2025-04-07,0.0
L00248,Lead,2025-02-05,0.0
L00248,MQL,2025-02-15,0.0
L00248,SQL,2025-02-19,0.0
L00248,Customer,2025-03-26,14550.37
L00249,Lead,2025-03-23,0.0
L00249,Lost,2025-03-28,0.0
L00250,Lead,2025-02-05,0.0
L00250,MQL,2025-02-11,0.0
L00250,Lost,2025-02-18,0.0
L00251,Lead,2025-02-19,0.0
L00251,MQL,2025-03-01,0.0
L00251,Lost,2025-03-11,0.0
L00252,Lead,2025-06-08,0.0
L00252,MQL,2025-06-22,0.0
L00252,Lost,2025-07-01,0.0
L00253,Lead,2025-01-12,0.0
L00253,MQL,2025-01-26,0.0
L00253,SQL,2025-02-04,0.0
L00253,Lost,2025-02-26,0.0
L00254,Lead,2025-04-13,0.0
L00254,MQL,2025-04-19,0.0
L00254,Lost,2025-05-11,0.0
L00255,Lead,2025-04-18,0.0
L00255,MQL,2025-04-27,0.0
L00255,Lost,2025-05-16,0.0
L00256,Lead,2025-01-04,0.0
L00256,Lost,2025-01-24,0.0
L00257,Lead,2025-01-20,0.0
L00257,Lost,2025-02-03,0.0
L00258,Lead,2025-01-27,0.0
L00258,MQL,2025-02-10,0.0
L00258,SQL,2025-02-14,0.0
L00258,Lost,2025-03-06,0.0
