event_id,lead_id,stage,stage_date,revenue
EVT000135,L00050,Lost,2025-02-07,0.0
EVT000136,L00051,Lead,2025-05-10,0.0
EVT000137,L00051,MQL,2025-05-13,0.0
EVT000138,L00051,Lost,2025-06-02,0.0
EVT000139,L00052,Lead,2025-01-01,0.0
EVT000140,L00052,MQL,2025-01-10,0.0
EVT000141,L00052,SQL,2025-01-26,0.0
EVT000142,L00052,Lost,2025-02-13,0.0
EVT000143,L00053,Lead,2025-04-15,0.0
EVT000144,L00053,Lost,2025-04-25,0.0
EVT000145,L00054,Lead,2025-05-16,0.0
EVT000146,L00054,Lost,2025-05-25,0.0
EVT000147,L00055,Lead,2025-03-23,0.0
EVT000148,L00055,MQL,2025-03-24,0.0
EVT000149,L00055,SQL,2025-04-03,0.0
EVT000150,L00055,Lost,2025-04-14,0.0
EVT000151,L00056,Lead,2025-06-10,0.0
EVT000152,L00056,Lost,2025-06-14,0.0
EVT000153,L00057,Lead,2025-05-26,0.0
EVT000154,L00057,Lost,2025-06-05,0.0
EVT000155,L00058,Lead,2025-05-05,0.0
EVT000156,L00058,MQL,2025-05-07,0.0
EVT000157,L00058,SQL,2025-05-09,0.0
EVT000158,L00058,Lost,2025-06-10,0.0
EVT000159,L00059,Lead,2025-05-11,0.0
EVT000160,L00059,Lost,2025-05-30,0.0
EVT000161,L00060,Lead,2025-04-13,0.0
EVT000162,L00060,MQL,2025-04-20,0.0
EVT000163,L00060,SQL,2025-05-11,0.0
EVT000164,L00060,Lost,2025-05-17,0.0
EVT000165,L00061,Lead,2025-01-24,0.0
EVT000166,L00061,Lost,2025-02-01,0.0
EVT000167,L00062,Lead,2025-02-03,0.0
EVT000168,L00062,MQL,2025-02-10,0.0
EVT000169,L00062,Lost,2025-02-18,0.0
EVT000170,L00063,Lead,2025-05-30,0.0
EVT000171,L00063,MQL,2025-06-12,0.0
EVT000172,L00063,Lost,2025-06-21,0.0
EVT000173,L00064,Lead,2025-02-12,0.0
EVT000174,L00064,MQL,2025-02-18,0.0
EVT000175,L00064,SQL,2025-02-27,0.0
EVT000176,L00064,Lost,2025-03-24,0.0
EVT000177,L00065,Lead,2025-06-18,0.0
EVT000178,L00065,MQL,2025-06-23,0.0
EVT000179,L00065,SQL,2025-07-03,0.0
EVT000180,L00065,Customer,2025-07-14,18728.05
EVT000181,L00066,Lead,2025-05-03,0.0
EVT000182,L00066,MQL,2025-05-13,0.0
EVT000183,L00066,SQL,2025-05-17,0.0
EVT000184,L00066,Customer,2025-06-13,18129.17
EVT000185,L00067,Lead,2025-04-18,0.0
EVT000186,L00067,Lost,2025-05-05,0.0
EVT000187,L00068,Lead,2025-01-30,0.0
EVT000188,L00068,MQL,2025-02-01,0.0
EVT000189,L00068,Lost,2025-02-11,0.0
EVT000190,L00069,Lead,2025-03-03,0.0
EVT000191,L00069,Lost,2025-03-23,0.0
EVT000192,L00070,Lead,2025-02-17,0.0
EVT000193,L00070,Lost,2025-03-03,0.0
EVT000194,L00071,Lead,2025-03-25,0.0
EVT000195,L00071,Lost,2025-03-31,0.0
EVT000196,L00072,Lead,2025-05-31,0.0
EVT000197,L00072,Lost,2025-06-16,0.0
EVT000198,L00073,Lead,2025-03-26,0.0
EVT000199,L00073,Lost,2025-03-29,0.0
EVT000200,L00074,Lead,2025-05-21,0.0
EVT000201,L00074,MQL,2025-06-01,0.0
EVT000202,L00074,Lost,2025-06-09,0.0
EVT000203,L00075,Lead,2025-05-06,0.0
EVT000204,L00075,MQL,2025-05-07,0.0
EVT000205,L00075,Lost,2025-05-22,0.0
EVT000206,L00076,Lead,2025-06-19,0.0
EVT000207,L00076,MQL,2025-06-25,0.0
EVT000208,L00076,Lost,2025-07-09,0.0
EVT000209,L00077,Lead,2025-04-23,0.0
EVT000210,L00077,Lost,2025-05-12,0.0
EVT000211,L00078,Lead,2025-02-15,0.0
EVT000212,L00078,MQL,2025-02-21,0.0
EVT000213,L00078,SQL,2025-03-09,0.0
EVT000214,L00078,Customer,2025-04-19,6076.71
EVT000215,L00079,Lead,2025-01-06,0.0
EVT000216,L00079,MQL,2025-01-13,0.0
EVT000217,L00079,Lost,2025-02-01,0.0
EVT000218,L00080,Lead,2025-05-03,0.0
EVT000219,L00080,Lost,2025-05-16,0.0
EVT000220,L00081,Lead,2025-04-30,0.0
EVT000221,L00081,Lost,2025-05-17,0.0
EVT000222,L00082,Lead,2025-04-13,0.0
EVT000223,L00082,Lost,2025-05-01,0.0
EVT000224,L00083,Lead,2025-03-16,0.0
EVT000225,L00083,MQL,2025-03-20,0.0
EVT000226,L00083,Lost,2025-04-05,0.0
EVT000227,L00084,Lead,2025-06-26,0.0
EVT000228,L00084,MQL,2025-07-01,0.0
EVT000229,L00084,Lost,2025-07-06,0.0
EVT000230,L00085,Lead,2025-01-21,0.0
EVT000231,L00085,MQL,2025-01-27,0.0
EVT000232,L00085,Lost,2025-02-11,0.0
EVT000233,L00086,Lead,2025-02-06,0.0
EVT000234,L00086,MQL,2025-02-16,0.0
EVT000235,L00086,Lost,2025-03-06,0.0
EVT000236,L00087,Lead,2025-04-18,0.0
EVT000237,L00087,MQL,2025-04-27,0.0
EVT000238,L00087,Lost,2025-05-22,0.0
EVT000239,L00088,Lead,2025-01-27,0.0
EVT000240,L00088,Lost,2025-02-14,0.0
EVT000241,L00089,Lead,2025-06-10,0.0
EVT000242,L00089,Lost,2025-06-23,0.0
EVT000243,L00090,Lead,2025-02-27,0.0
EVT000244,L00090,Lost,2025-03-05,0.0
EVT000245,L00091,Lead,2025-04-12,0.0
EVT000246,L00091,Lost,2025-04-24,0.0
EVT000247,L00092,Lead,2025-01-22,0.0
EVT000248,L00092,Lost,2025-01-30,0.0
EVT000249,L00093,Lead,2025-02-21,0.0
EVT000250,L00093,Lost,2025-03-05,0.0
EVT000251,L00094,Lead,2025-04-21,0.0
EVT000252,L00094,Lost,2025-05-06,0.0
EVT000253,L00095,Lead,2025-02-27,0.0
EVT000254,L00095,MQL,2025-03-03,0.0
EVT000255,L00095,SQL,2025-03-06,0.0
EVT000256,L00095,Customer,2025-04-05,13057.32
EVT000257,L00096,Lead,2025-02-19,0.0
EVT000258,L00096,Lost,2025-03-08,0.0
EVT000259,L00097,Lead,2025-05-25,0.0
EVT000260,L00097,Lost,2025-06-05,0.0
EVT000261,L00098,Lead,2025-04-06,0.0
EVT000262,L00098,Lost,2025-04-10,0.0
EVT000263,L00099,Lead,2025-01-08,0.0
EVT000264,L00099,MQL,2025-01-09,0.0
EVT000265,L00099,Lost,2025-01-12,0.0
EVT000266,L00100,Lead,2025-01-29,0.0
EVT000267,L00100,MQL,2025-01-30,0.0
EVT000268,L00100,SQL,2025-02-10,0.0
EVT000269,L00100,Customer,2025-03-11,13611.17
EVT000270,L00101,Lead,2025-01-09,0.0
EVT000271,L00101,MQL,2025-01-11,0.0
EVT000272,L00101,Lost,2025-02-02,0.0
EVT000273,L00102,Lead,2025-06-16,0.0
EVT000274,L00102,MQL,2025-06-21,0.0
EVT000275,L00102,SQL,2025-07-04,0.0
EVT000276,L00102,Lost,2025-08-04,0.0
EVT000277,L00103,Lead,2025-06-12,0.0
EVT000278,L00103,Lost,2025-07-01,0.0
EVT000279,L00104,Lead,2025-03-02,0.0
EVT000280,L00104,MQL,2025-03-11,0.0
EVT000281,L00104,Lost,2025-03-26,0.0
EVT000282,L00105,Lead,2025-04-14,0.0
EVT000283,L00105,MQL,2025-04-24,0.0
EVT000284,L00105,SQL,2025-05-04,0.0
EVT000285,L00105,Lost,2025-05-27,0.0
EVT000286,L00106,Lead,2025-04-06,0.0
EVT000287,L00106,MQL,2025-04-09,0.0
EVT000288,L00106,Lost,2025-05-01,0.0
EVT000289,L00107,Lead,2025-06-06,0.0
EVT000290,L00107,MQL,2025-06-16,0.0
EVT000291,L00107,SQL,2025-06-19,0.0
EVT000292,L00107,Lost,2025-07-06,0.0
EVT000293,L00108,Lead,2025-01-16,0.0
EVT000294,L00108,Lost,2025-01-28,0.0
EVT000295,L00109,Lead,2025-01-01,0.0
EVT000296,L00109,MQL,2025-01-07,0.0
EVT000297,L00109,SQL,2025-01-21,0.0
EVT000298,L00109,Lost,2025-01-30,0.0
EVT000299,L00110,Lead,2025-05-20,0.0
EVT000300,L00110,Lost,2025-06-09,0.0
EVT000301,L00111,Lead,2025-02-01,0.0
EVT000302,L00111,Lost,2025-02-15,0.0
EVT000303,L00112,Lead,2025-06-28,0.0
EVT000304,L00112,Lost,2025-07-15,0.0
EVT000305,L00113,Lead,2025-06-24,0.0
EVT000306,L00113,MQL,2025-06-27,0.0
EVT000307,L00113,Lost,2025-07-18,0.0
EVT000308,L00114,Lead,2025-01-08,0.0
EVT000309,L00114,MQL,2025-01-21,0.0
EVT000310,L00114,SQL,2025-02-05,0.0
EVT000311,L00114,Customer,2025-03-01,5229.75
EVT000312,L00115,Lead,2025-04-16,0.0
EVT000313,L00115,MQL,2025-04-19,0.0
EVT000314,L00115,SQL,2025-05-03,0.0
EVT000315,L00115,Lost,2025-05-18,0.0
EVT000316,L00116,Lead,2025-03-29,0.0
EVT000317,L00116,MQL,2025-04-08,0.0
EVT000318,L00116,Lost,2025-04-17,0.0
EVT000319,L00117,Lead,2025-06-25,0.0
EVT000320,L00117,MQL,2025-07-04,0.0
EVT000321,L00117,Lost,2025-07-07,0.0
EVT000322,L00118,Lead,2025-02-06,0.0
EVT000323,L00118,MQL,2025-02-07,0.0
EVT000324,L00118,SQL,2025-02-21,0.0
EVT000325,L00118,Customer,2025-03-10,17797.41
EVT000326,L00119,Lead,2025-04-23,0.0
EVT000327,L00119,Lost,2025-05-06,0.0
EVT000328,L00120,Lead,2025-05-13,0.0
EVT000329,L00120,MQL,2025-05-16,0.0
EVT000330,L00120,Lost,2025-05-23,0.0
EVT000331,L00121,Lead,2025-01-31,0.0
EVT000332,L00121,Lost,2025-02-05,0.0
EVT000333,L00122,Lead,2025-01-20,0.0
EVT000334,L00122,MQL,2025-01-23,0.0
EVT000335,L00122,Lost,2025-02-09,0.0
EVT000336,L00123,Lead,2025-03-27,0.0
EVT000337,L00123,MQL,2025-04-02,0.0
EVT000338,L00123,Lost,2025-04-19,0.0
EVT000339,L00124,Lead,2025-06-24,0.0
EVT000340,L00124,MQL,2025-07-07,0.0
EVT000341,L00124,SQL,2025-07-17,0.0
EVT000342,L00124,Customer,2025-08-16,6803.08
EVT000343,L00125,Lead,2025-04-25,0.0
EVT000344,L00125,Lost,2025-04-29,0.0
EVT000345,L00126,Lead,2025-04-29,0.0
EVT000346,L00126,Lost,2025-05-19,0.0
EVT000347,L00127,Lead,2025-02-04,0.0
EVT000348,L00127,MQL,2025-02-15,0.0
EVT000349,L00127,SQL,2025-02-23,0.0
EVT000350,L00127,Lost,2025-03-12,0.0
EVT000351,L00128,Lead,2025-02-11,0.0
EVT000352,L00128,Lost,2025-02-17,0.0
EVT000353,L00129,Lead,2025-05-04,0.0
EVT000354,L00129,MQL,2025-05-18,0.0
EVT000355,L00129,Lost,2025-05-24,0.0
EVT000356,L00130,Lead,2025-02-10,0.0
EVT000357,L00130,MQL,2025-02-15,0.0
EVT000358,L00130,SQL,2025-02-27,0.0
EVT000359,L00130,Customer,2025-03-11,11581.48
EVT000360,L00131,Lead,2025-05-07,0.0
EVT000361,L00131,Lost,2025-05-25,0.0
EVT000362,L00132,Lead,2025-01-09,0.0
EVT000363,L00132,Lost,2025-01-17,0.0
EVT000364,L00133,Lead,2025-01-10,0.0
EVT000365,L00133,MQL,2025-01-17,0.0
EVT000366,L00133,SQL,2025-01-25,0.0
EVT000367,L00133,Lost,2025-02-09,0.0
EVT000368,L00134,Lead,2025-01-28,0.0
EVT000369,L00134,Lost,2025-02-10,0.0
EVT000370,L00135,Lead,2025-04-24,0.0
EVT000371,L00135,MQL,2025-04-28,0.0
EVT000372,L00135,Lost,2025-05-18,0.0
EVT000373,L00136,Lead,2025-01-17,0.0
EVT000374,L00136,Lost,2025-02-06,0.0
EVT000375,L00137,Lead,2025-06-25,0.0
EVT000376,L00137,MQL,2025-06-27,0.0
EVT000377,L00137,Lost,2025-07-20,0.0
EVT000378,L00138,Lead,2025-05-30,0.0
EVT000379,L00138,Lost,2025-06-14,0.0
EVT000380,L00139,Lead,2025-05-12,0.0
EVT000381,L00139,Lost,2025-05-22,0.0
EVT000382,L00140,Lead,2025-01-20,0.0
EVT000383,L00140,MQL,2025-01-24,0.0
EVT000384,L00140,SQL,2025-02-02,0.0
EVT000385,L00140,Lost,2025-02-27,0.0
EVT000386,L00141,Lead,2025-04-13,0.0
EVT000387,L00141,MQL,2025-04-20,0.0
EVT000388,L00141,Lost,2025-04-30,0.0
EVT000389,L00142,Lead,2025-03-20,0.0
EVT000390,L00142,MQL,2025-04-03,0.0
EVT000391,L00142,SQL,2025-04-05,0.0
EVT000392,L00142,Customer,2025-04-16,25063.85
EVT000393,L00143,Lead,2025-01-12,0.0
EVT000394,L00143,MQL,2025-01-13,0.0
EVT000395,L00143,SQL,2025-01-22,0.0
EVT000396,L00143,Lost,2025-02-11,0.0
EVT000397,L00144,Lead,2025-06-07,0.0
EVT000398,L00144,Lost,2025-06-16,0.0
EVT000399,L00145,Lead,2025-03-06,0.0
EVT000400,L00145,MQL,2025-03-18,0.0
EVT000401,L00145,Lost,2025-04-01,0.0
EVT000402,L00146,Lead,2025-02-21,0.0
EVT000403,L00146,Lost,2025-03-11,0.0
EVT000404,L00147,Lead,2025-02-12,0.0
EVT000405,L00147,MQL,2025-02-13,0.0
EVT000406,L00147,SQL,2025-02-19,0.0
EVT000407,L00147,Customer,2025-03-02,6867.65
EVT000408,L00148,Lead,2025-04-25,0.0
EVT000409,L00148,MQL,2025-05-06,0.0
EVT000410,L00148,SQL,2025-05-25,0.0
EVT000411,L00148,Lost,2025-06-14,0.0
EVT000412,L00149,Lead,2025-02-05,0.0
EVT000413,L00149,MQL,2025-02-13,0.0
EVT000414,L00149,SQL,2025-02-27,0.0
EVT000415,L00149,Lost,2025-03-21,0.0
EVT000416,L00150,Lead,2025-05-15,0.0
EVT000417,L00150,MQL,2025-05-18,0.0
EVT000418,L00150,Lost,2025-05-25,0.0
EVT000419,L00151,Lead,2025-04-06,0.0
EVT000420,L00151,Lost,2025-04-19,0.0
EVT000421,L00152,Lead,2025-02-28,0.0
EVT000422,L00152,Lost,2025-03-15,0.0
EVT000423,L00153,Lead,2025-02-24,0.0
EVT000424,L00153,MQL,2025-03-03,0.0
EVT000425,L00153,SQL,2025-03-12,0.0
EVT000426,L00153,Customer,2025-03-19,10250.88
EVT000427,L00154,Lead,2025-04-05,0.0
EVT000428,L00154,MQL,2025-04-18,0.0
EVT000429,L00154,Lost,2025-05-04,0.0
EVT000430,L00155,Lead,2025-03-08,0.0
EVT000431,L00155,MQL,2025-03-15,0.0
EVT000432,L00155,Lost,2025-04-09,0.0
EVT000433,L00156,Lead,2025-03-12,0.0
EVT000434,L00156,Lost,2025-03-24,0.0
EVT000435,L00157,Lead,2025-01-11,0.0
EVT000436,L00157,Lost,2025-01-30,0.0
EVT000437,L00158,Lead,2025-05-18,0.0
EVT000438,L00158,MQL,2025-05-26,0.0
EVT000439,L00158,Lost,2025-06-04,0.0
EVT000440,L00159,Lead,2025-03-15,0.0
EVT000441,L00159,Lost,2025-03-22,0.0
EVT000442,L00160,Lead,2025-04-12,0.0
EVT000443,L00160,MQL,2025-04-24,0.0
EVT000444,L00160,SQL,2025-05-03,0.0
EVT000445,L00160,Lost,2025-05-26,0.0
EVT000446,L00161,Lead,2025-01-24,0.0
EVT000447,L00161,Lost,2025-02-09,0.0
EVT000448,L00162,Lead,2025-02-04,0.0
EVT000449,L00162,Lost,2025-02-07,0.0
EVT000450,L00163,Lead,2025-01-28,0.0
EVT000451,L00163,MQL,2025-02-08,0.0
EVT000452,L00163,Lost,2025-02-17,0.0
EVT000453,L00164,Lead,2025-01-26,0.0
EVT000454,L00164,Lost,2025-02-08,0.0
EVT000455,L00165,Lead,2025-02-06,0.0
EVT000456,L00165,Lost,2025-02-20,0.0
EVT000457,L00166,Lead,2025-04-16,0.0
EVT000458,L00166,MQL,2025-04-29,0.0
EVT000459,L00166,Lost,2025-05-10,0.0
EVT000460,L00167,Lead,2025-04-25,0.0
EVT000461,L00167,Lost,2025-05-12,0.0
EVT000462,L00168,Lead,2025-06-12,0.0
EVT000463,L00168,MQL,2025-06-25,0.0
EVT000464,L00168,SQL,2025-07-10,0.0
EVT000465,L00168,Customer,2025-07-26,5982.45
EVT000466,L00169,Lead,2025-02-22,0.0
EVT000467,L00169,Lost,2025-03-05,0.0
EVT000468,L00170,Lead,2025-06-29,0.0
EVT000469,L00170,MQL,2025-06-30,0.0
EVT000470,L00170,SQL,2025-07-05,0.0
EVT000471,L00170,Lost,2025-08-08,0.0
EVT000472,L00171,Lead,2025-06-07,0.0
EVT000473,L00171,MQL,2025-06-11,0.0
EVT000474,L00171,Lost,2025-06-30,0.0
EVT000475,L00172,Lead,2025-04-05,0.0
EVT000476,L00172,MQL,2025-04-16,0.0
EVT000477,L00172,SQL,2025-05-03,0.0
EVT000478,L00172,Lost,2025-05-09,0.0
EVT000479,L00173,Lead,2025-03-11,0.0
EVT000480,L00173,MQL,2025-03-17,0.0
EVT000481,L00173,SQL,2025-04-03,0.0
EVT000482,L00173,Lost,2025-04-21,0.0
EVT000483,L00174,Lead,2025-02-07,0.0
EVT000484,L00174,MQL,2025-02-19,0.0
EVT000485,L00174,Lost,2025-03-02,0.0
EVT000486,L00175,Lead,2025-04-21,0.0
EVT000487,L00175,MQL,2025-05-01,0.0
EVT000488,L00175,Lost,2025-05-24,0.0
EVT000489,L00176,Lead,2025-03-15,0.0
EVT000490,L00176,Lost,2025-04-03,0.0
EVT000491,L00177,Lead,2025-03-04,0.0
EVT000492,L00177,MQL,2025-03-17,0.0
EVT000493,L00177,SQL,2025-03-27,0.0
EVT000494,L00177,Customer,2025-05-03,20336.19
EVT000495,L00178,Lead,2025-02-24,0.0
EVT000496,L00178,MQL,2025-03-06,0.0
EVT000497,L00178,Lost,2025-03-28,0.0
EVT000498,L00179,Lead,2025-02-17,0.0
EVT000499,L00179,Lost,2025-02-25,0.0
EVT000500,L00180,Lead,2025-04-21,0.0
EVT000501,L00180,MQL,2025-04-23,0.0
EVT000502,L00180,Lost,2025-05-15,0.0
EVT000503,L00181,Lead,2025-01-23,0.0
EVT000504,L00181,MQL,2025-01-27,0.0
EVT000505,L00181,SQL,2025-02-08,0.0
EVT000506,L00181,Customer,2025-02-25,25873.55
EVT000507,L00182,Lead,2025-03-19,0.0
EVT000508,L00182,MQL,2025-03-30,0.0
EVT000509,L00182,Lost,2025-04-12,0.0
EVT000510,L00183,Lead,2025-05-04,0.0
EVT000511,L00183,Lost,2025-05-19,0.0
EVT000512,L00184,Lead,2025-01-08,0.0
EVT000513,L00184,Lost,2025-01-15,0.0
EVT000514,L00185,Lead,2025-05-04,0.0
EVT000515,L00185,MQL,2025-05-16,0.0
EVT000516,L00185,Lost,2025-05-22,0.0
EVT000517,L00186,Lead,2025-05-27,0.0
EVT000518,L00186,MQL,2025-05-30,0.0
EVT000519,L00186,SQL,2025-06-03,0.0
EVT000520,L00186,Lost,2025-06-30,0.0
EVT000521,L00187,Lead,2025-01-04,0.0
EVT000522,L00187,MQL,2025-01-11,0.0
EVT000523,L00187,Lost,2025-01-16,0.0
EVT000524,L00188,Lead,2025-05-11,0.0
EVT000525,L00188,MQL,2025-05-22,0.0
EVT000526,L00188,Lost,2025-06-14,0.0
EVT000527,L00189,Lead,2025-05-22,0.0
EVT000528,L00189,Lost,2025-06-07,0.0
EVT000529,L00190,Lead,2025-02-14,0.0
EVT000530,L00190,MQL,2025-02-20,0.0
EVT000531,L00190,SQL,2025-03-12,0.0
EVT000532,L00190,Lost,2025-03-24,0.0
EVT000533,L00191,Lead,2025-01-05,0.0
EVT000534,L00191,Lost,2025-01-24,0.0
EVT000535,L00192,Lead,2025-06-29,0.0
EVT000536,L00192,MQL,2025-07-09,0.0
EVT000537,L00192,SQL,2025-07-27,0.0
EVT000538,L00192,Customer,2025-08-07,9905.62
EVT000539,L00193,Lead,2025-02-15,0.0
EVT000540,L00193,MQL,2025-02-21,0.0
EVT000541,L00193,SQL,2025-03-04,0.0
EVT000542,L00193,Customer,2025-03-23,15255.46
EVT000543,L00194,Lead,2025-02-11,0.0
EVT000544,L00194,MQL,2025-02-22,0.0
EVT000545,L00194,Lost,2025-03-10,0.0
EVT000546,L00195,Lead,2025-03-10,0.0
EVT000547,L00195,MQL,2025-03-19,0.0
EVT000548,L00195,Lost,2025-04-09,0.0
EVT000549,L00196,Lead,2025-06-14,0.0
EVT000550,L00196,MQL,2025-06-27,0.0
EVT000551,L00196,Lost,2025-07-18,0.0
EVT000552,L00197,Lead,2025-01-01,0.0
EVT000553,L00197,MQL,2025-01-12,0.0
EVT000554,L00197,SQL,2025-01-29,0.0
EVT000555,L00197,Lost,2025-02-22,0.0
EVT000556,L00198,Lead,2025-06-29,0.0
EVT000557,L00198,Lost,2025-07-19,0.0
